age,job,education,channel,month,day_of_week,duration,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,converted,vendor,lead_id,cost_per_lead,revenue_if_converted,revenue_realized
56,housemaid,basic.4y,outbound,may,mon,261,1.1,93.994,-36.4,4.857,5191.0,0,Vendor D - Northbridge Mktg,100000,46.5,640,0
57,services,high.school,outbound,may,mon,149,1.1,93.994,-36.4,4.857,5191.0,0,Vendor E - Fieldstone List,100001,9.75,640,0
37,services,high.school,outbound,may,mon,226,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100002,12.0,640,0
40,admin.,basic.6y,outbound,may,mon,151,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100003,12.0,640,0
56,services,high.school,outbound,may,mon,307,1.1,93.994,-36.4,4.857,5191.0,0,Vendor B - Coastal Direct,100004,34.0,640,0
45,services,basic.9y,outbound,may,mon,198,1.1,93.994,-36.4,4.857,5191.0,0,Vendor E - Fieldstone List,100005,9.75,640,0
59,admin.,professional.course,outbound,may,mon,139,1.1,93.994,-36.4,4.857,5191.0,0,Vendor E - Fieldstone List,100006,9.75,640,0
41,blue-collar,unknown,outbound,may,mon,217,1.1,93.994,-36.4,4.857,5191.0,0,Vendor B - Coastal Direct,100007,34.0,640,0
24,technician,professional.course,outbound,may,mon,380,1.1,93.994,-36.4,4.857,5191.0,0,Vendor A - Meridian Leads,100008,18.5,640,0
25,services,high.school,outbound,may,mon,50,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100009,12.0,640,0
41,blue-collar,unknown,outbound,may,mon,55,1.1,93.994,-36.4,4.857,5191.0,0,Vendor B - Coastal Direct,100010,34.0,640,0
25,services,high.school,outbound,may,mon,222,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100011,12.0,640,0
29,blue-collar,high.school,outbound,may,mon,137,1.1,93.994,-36.4,4.857,5191.0,0,Vendor E - Fieldstone List,100012,9.75,640,0
57,housemaid,basic.4y,outbound,may,mon,293,1.1,93.994,-36.4,4.857,5191.0,0,Vendor D - Northbridge Mktg,100013,46.5,640,0
35,blue-collar,basic.6y,outbound,may,mon,146,1.1,93.994,-36.4,4.857,5191.0,0,Vendor A - Meridian Leads,100014,18.5,640,0
54,retired,basic.9y,outbound,may,mon,174,1.1,93.994,-36.4,4.857,5191.0,0,Vendor E - Fieldstone List,100015,9.75,640,0
35,blue-collar,basic.6y,outbound,may,mon,312,1.1,93.994,-36.4,4.857,5191.0,0,Vendor A - Meridian Leads,100016,18.5,640,0
46,blue-collar,basic.6y,outbound,may,mon,440,1.1,93.994,-36.4,4.857,5191.0,0,Vendor A - Meridian Leads,100017,18.5,640,0
50,blue-collar,basic.9y,outbound,may,mon,353,1.1,93.994,-36.4,4.857,5191.0,0,Vendor B - Coastal Direct,100018,34.0,640,0
39,management,basic.9y,outbound,may,mon,195,1.1,93.994,-36.4,4.857,5191.0,0,Vendor B - Coastal Direct,100019,34.0,640,0
30,unemployed,high.school,outbound,may,mon,38,1.1,93.994,-36.4,4.857,5191.0,0,Vendor A - Meridian Leads,100020,18.5,640,0
55,blue-collar,basic.4y,outbound,may,mon,262,1.1,93.994,-36.4,4.857,5191.0,0,Vendor D - Northbridge Mktg,100021,46.5,640,0
55,retired,high.school,outbound,may,mon,342,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100022,12.0,640,0
41,technician,high.school,outbound,may,mon,181,1.1,93.994,-36.4,4.857,5191.0,0,Vendor F - Summit Outreach,100023,27.25,640,0
37,admin.,high.school,outbound,may,mon,172,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100024,12.0,640,0
35,technician,university.degree,outbound,may,mon,99,1.1,93.994,-36.4,4.857,5191.0,0,Vendor F - Summit Outreach,100025,27.25,640,0
59,technician,unknown,outbound,may,mon,93,1.1,93.994,-36.4,4.857,5191.0,0,Vendor B - Coastal Direct,100026,34.0,640,0
39,self-employed,basic.9y,outbound,may,mon,233,1.1,93.994,-36.4,4.857,5191.0,0,Vendor A - Meridian Leads,100027,18.5,640,0
54,technician,university.degree,outbound,may,mon,255,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100028,12.0,640,0
55,unknown,university.degree,outbound,may,mon,362,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100029,12.0,640,0
46,admin.,unknown,outbound,may,mon,348,1.1,93.994,-36.4,4.857,5191.0,0,Vendor F - Summit Outreach,100030,27.25,640,0
59,technician,unknown,outbound,may,mon,386,1.1,93.994,-36.4,4.857,5191.0,0,Vendor B - Coastal Direct,100031,34.0,640,0
49,blue-collar,unknown,outbound,may,mon,73,1.1,93.994,-36.4,4.857,5191.0,0,Vendor F - Summit Outreach,100032,27.25,640,0
54,management,basic.4y,outbound,may,mon,230,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100033,12.0,640,0
54,blue-collar,basic.4y,outbound,may,mon,208,1.1,93.994,-36.4,4.857,5191.0,0,Vendor A - Meridian Leads,100034,18.5,640,0
