age,job,education,channel,month,day_of_week,duration,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,converted,vendor,lead_id,cost_per_lead,lead_score,advanced
56,housemaid,basic.4y,landline-sourced,may,mon,261,1.1,93.994,-36.4,4.857,5191.0,0,Vendor D - Northbridge Mktg,100000,46.5,0.16482404625577332,0
57,services,high.school,landline-sourced,may,mon,149,1.1,93.994,-36.4,4.857,5191.0,0,Vendor E - Fieldstone List,100001,9.75,0.17396846521465428,0
37,services,high.school,landline-sourced,may,mon,226,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100002,12.0,0.18536309325334566,0
40,admin.,basic.6y,landline-sourced,may,mon,151,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100003,12.0,0.21734400000010376,0
56,services,high.school,landline-sourced,may,mon,307,1.1,93.994,-36.4,4.857,5191.0,0,Vendor B - Coastal Direct,100004,34.0,0.17452481656344596,0
45,services,basic.9y,landline-sourced,may,mon,198,1.1,93.994,-36.4,4.857,5191.0,0,Vendor E - Fieldstone List,100005,9.75,0.1697396126872498,0
59,admin.,professional.course,landline-sourced,may,mon,139,1.1,93.994,-36.4,4.857,5191.0,0,Vendor E - Fieldstone List,100006,9.75,0.16931937226350455,0
41,blue-collar,unknown,landline-sourced,may,mon,217,1.1,93.994,-36.4,4.857,5191.0,0,Vendor B - Coastal Direct,100007,34.0,0.19091036054982366,0
24,technician,professional.course,landline-sourced,may,mon,380,1.1,93.994,-36.4,4.857,5191.0,0,Vendor A - Meridian Leads,100008,18.5,0.19179824694063313,0
25,services,high.school,landline-sourced,may,mon,50,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100009,12.0,0.1924721382235783,0
41,blue-collar,unknown,landline-sourced,may,mon,55,1.1,93.994,-36.4,4.857,5191.0,0,Vendor B - Coastal Direct,100010,34.0,0.19091036054982366,0
25,services,high.school,landline-sourced,may,mon,222,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100011,12.0,0.1924721382235783,0
29,blue-collar,high.school,landline-sourced,may,mon,137,1.1,93.994,-36.4,4.857,5191.0,0,Vendor E - Fieldstone List,100012,9.75,0.19078549767289463,0
57,housemaid,basic.4y,landline-sourced,may,mon,293,1.1,93.994,-36.4,4.857,5191.0,0,Vendor D - Northbridge Mktg,100013,46.5,0.16429246431626657,0
35,blue-collar,basic.6y,landline-sourced,may,mon,146,1.1,93.994,-36.4,4.857,5191.0,0,Vendor A - Meridian Leads,100014,18.5,0.20639228885143643,0
54,retired,basic.9y,landline-sourced,may,mon,174,1.1,93.994,-36.4,4.857,5191.0,0,Vendor E - Fieldstone List,100015,9.75,0.24259767396775175,0
35,blue-collar,basic.6y,landline-sourced,may,mon,312,1.1,93.994,-36.4,4.857,5191.0,0,Vendor A - Meridian Leads,100016,18.5,0.20639228885143643,0
